Depth_Target,DateTime_Start,DateTime_End,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia
0,3/9/2019 10:53,3/9/2019 10:54,0.103266667,0.26275,16.52333333,114.1775,14.88583333,78.80383333,220.4893333,2.545833333,67.9655,144.0521667,8.151666667,1.182333333,4.48,0.146883333
1,3/9/2019 10:55,3/9/2019 10:56,1.5074,2.539766667,16.49166667,70.745,9.1965,66.4145,186.3365,2.037,68.989,146.2355,1.873333333,0.256,4.526833333,2.143933333
2,3/9/2019 10:57,3/9/2019 10:58,2.4753,3.446966667,16.6,68.06683333,8.846333333,70.6815,198.0986667,1.895333333,68.051,144.2346667,1.506666667,0.201,4.5565,3.520466667
3,3/9/2019 10:59,3/9/2019 11:00,3.464133333,3.809583333,16.615,66.67733333,8.664166667,71.07816667,199.1948333,1.939166667,67.9515,144.0235,1.3,0.17,4.574,4.926933333
4,3/9/2019 11:01,3/9/2019 11:02,4.4103,3.92735,16.7,67.19233333,8.732,71.71016667,200.9335,1.883833333,67.952,144.0248333,1.26,0.165333333,4.588166667,6.272433333
5,3/9/2019 11:03,3/9/2019 11:04,5.388616667,3.981583333,16.8,68.565,8.911666667,75.16333333,210.4521667,1.9,67.96916667,144.0598333,1.11,0.145333333,4.59,7.663966667
6,3/9/2019 11:05,3/9/2019 11:06,6.365,4.017566667,17,70.12783333,9.116666667,74.99433333,209.9863333,2.08,68.091,144.3211667,1.063333333,0.139,4.62,9.052966667
7,3/9/2019 11:07,3/9/2019 11:08,6.611316667,4.045983333,17.69,129.612,16.90716667,123.7333333,344.3291667,34.49766667,55.8065,118.1281667,0.858333333,0.113666667,4.6525,9.403083333
