Depth_Target,DateTime_Start,DateTime_End,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia
0,3/9/2019 17:29,3/9/2019 17:30,0.223466667,0.237366667,22.8,143.9615,18.78633333,96.5085,269.2886667,0.595,84.946,180.2565,11.32333333,1.644,4.255833333,0.317833333
1,3/9/2019 17:31,3/9/2019 17:32,1.410483333,2.093733333,21.84333333,97.79566667,12.74,82.775,231.4331667,0.397666667,85.22916667,180.8595,3.886666667,0.536166667,4.2805,2.0061
2,3/9/2019 17:33,3/9/2019 17:34,2.373,3.0173,21.75166667,96.179,12.52833333,81.236,227.1925,0.4255,84.36866667,179.0241667,2.9,0.39,4.2965,3.375
3,3/9/2019 17:35,3/9/2019 17:36,3.384283333,3.519466667,21.73833333,95.58983333,12.45133333,80.44733333,225.0166667,0.457333333,84.098,178.4475,2.31,0.305,4.302166667,4.813383333
4,3/9/2019 17:37,3/9/2019 17:38,4.335,3.742833333,21.75333333,95.946,12.49766667,80.87583333,226.199,0.400833333,84.0055,178.2526667,2.05,0.2705,4.299333333,6.165733333
5,3/9/2019 17:39,3/9/2019 17:40,5.349333333,3.831833333,21.8,97.50566667,12.702,80.9485,226.4008333,0.380333333,83.98966667,178.2166667,1.848333333,0.243,4.294166667,7.60825
6,3/9/2019 17:41,3/9/2019 17:42,6.318733333,3.945783333,22.03166667,97.1265,12.6525,79.578,222.6223333,0.4315,84.07533333,178.4005,1.7,0.223666667,4.33,8.98685
7,3/9/2019 17:43,3/9/2019 17:44,7.208333333,4.112116667,23.12333333,276.939,36.20133333,234.1531667,648.6853333,149.2395,49.34333333,104.3493333,1.583333333,0.207666667,4.515666667,10.25223333
