lakeid,sampledate,depth,chlor,phaeo
TB,9/8/83,0,29.6,-2.5
TB,9/8/83,1,4.6,0.1
TB,9/8/83,2,20.7,7.6
TB,9/8/83,3,39.7,105.3
TB,9/8/83,4,9.5,43.2
TB,9/8/83,5,18.1,20.6
TB,9/8/83,6,2.6,14.3
TB,9/8/83,7,5,7.8
TB,9/28/83,0,38.9,-6.8
TB,9/28/83,1,15,1.2
TB,9/28/83,2,5.9,10.6
TB,9/28/83,3,10.2,9.8
TB,9/28/83,4,0,56
TB,9/28/83,5,15,24.1
TB,9/28/83,6,4.2,28.6
TB,9/28/83,7,12.4,9.7
TB,10/19/83,0,40.6,-4.6
TB,10/19/83,1,9.7,2.9
TB,10/19/83,2,7.8,3.6
TB,10/19/83,3,2.8,6.5
TB,10/19/83,4,7.6,4.4
TB,10/19/83,5,7.4,25.8
TB,10/19/83,6,14.9,15.1
TB,10/19/83,7,11.2,11.6
TB,11/14/83,0,5.6,2.3
TB,11/14/83,2,5,2.7
TB,11/14/83,3,4.6,2.4
TB,11/14/83,5,5,2.6
TB,11/14/83,7,4.8,2.3
TB,1/3/84,0,7.8,0.5
TB,1/3/84,2,2.4,1.9
TB,1/3/84,3,2,2
TB,1/3/84,5,5.9,1.3
TB,1/3/84,7,1.3,1.5
TB,2/28/84,0,23.6,-0.2
TB,2/28/84,2,1.1,1.4
TB,2/28/84,3,3.4,1.5
TB,2/28/84,5,0.4,1.4
TB,2/28/84,7,1.1,3.2
TB,4/4/84,0,51.3,0.4
TB,4/4/84,2,18.1,0.6
TB,4/4/84,3,6.5,1.4
TB,4/4/84,5,1.1,2.1
TB,4/4/84,7,0.4,3
TB,5/8/84,0,23.1,-3.6
TB,5/8/84,2,11.7,1.8
TB,5/8/84,2,10.6,2.8
TB,5/8/84,3,8.4,0.9
TB,5/8/84,5,10.6,0.2
TB,5/8/84,7,4.6,3.2
TB,5/22/84,0,10.1,-0.6
TB,5/22/84,2,12.8,2.7
TB,5/22/84,3,10.6,0.6
TB,5/22/84,5,9.5,1.5
TB,5/22/84,7,3.7,3.4
TB,6/4/84,0,5.6,-0.3
TB,6/4/84,2,14,2.9
TB,6/4/84,2,4.4,1.3
TB,6/4/84,3,17.2,3.2
TB,6/4/84,5,2.6,4
TB,6/4/84,6,7.6,2.8
TB,6/4/84,7,2,3.3
TB,6/19/84,0,2.4,1.7
TB,6/19/84,1,17,-1.2
TB,6/19/84,2,14.2,0.1
TB,6/19/84,3,15.3,5
TB,6/19/84,3,17.2,4
TB,6/19/84,4,2.2,3
TB,6/19/84,5,1.3,2.7
TB,6/19/84,6,7.4,2.7
TB,6/19/84,7,2.6,6.4
TB,7/2/84,0,5.2,-0.3
TB,7/2/84,1,48.9,-12.1
TB,7/2/84,2,21.1,0.9
TB,7/2/84,3,11,5
TB,7/2/84,4,5.4,1.9
TB,7/2/84,5,5,1.5
TB,7/2/84,6,10.2,0
TB,7/2/84,7,3.4,4.5
TB,7/2/84,7,2.1,5.1
TB,7/17/84,0,24,-5
TB,7/17/84,1,11.1,-0.2
TB,7/17/84,2,59.1,-8.7
TB,7/17/84,2,54.7,-6.6
TB,7/17/84,3,9.4,1.8
TB,7/17/84,4,5.5,2.6
TB,7/17/84,5,3,1.8
TB,7/17/84,6,4.7,3.1
TB,7/17/84,7,5,3.9
TB,8/1/84,0,29,-4.8
TB,8/1/84,1,21,-3.9
TB,8/1/84,2,82.8,-6.9
TB,8/1/84,2,104.1,-23.8
TB,8/1/84,4,11,5.1
